ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalogue,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _wp_page_template,Meta: fb_product_item_id,Meta: fb_visibility,Meta: _wc_facebook_sync_enabled,Meta: fb_product_description,Meta: _wc_facebook_product_image_source,Meta: fb_product_image,Meta: fb_product_price,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global,Meta: _yoast_wpseo_content_score,Meta: _yoast_wpseo_focuskeywords,Meta: _yoast_wpseo_keywordsynonyms,Meta: _yoast_wpseo_primary_product_cat,Meta: _yith_wcbm_badge_from_date,Meta: _yith_wcbm_badge_to_date,Meta: fb_product_group_id,Meta: _wc_facebook_commerce_enabled,Meta: _yith_wcbm_badge_schedule,Meta: _yoast_wpseo_estimated-reading-time-minutes,Meta: _yoast_indexnow_last_ping,Meta: _yoast_wpseo_wordproof_timestamp,Meta: _yoast_wpseo_primary_fb_product_set,Meta: _yoast_wpseo_primary_product_brand,Meta: _wp_old_date,Meta: _yoast_wpseo_opengraph-title,Meta: _yoast_wpseo_opengraph-description,Meta: _yoast_wpseo_opengraph-image,Meta: _yoast_wpseo_opengraph-image-id,Meta: _yoast_wpseo_metadesc,Meta: _yoast_wpseo_twitter-description,Meta: _yoast_wpseo_focuskw,Meta: _yoast_wpseo_linkdex,Meta: fb_rich_text_description,Meta: fb_brand,Meta: fb_mpn,Meta: fb_size,Meta: fb_color,Meta: fb_material,Meta: fb_pattern,Meta: fb_age_group,Meta: fb_gender,Meta: fb_product_condition,Attribute 7 name,Attribute 7 value(s),Attribute 7 visible,Attribute 7 global,Meta: _wp_desired_post_slug,Meta: yith_wcbm_badge_options_schedule,Meta: yith_wcbm_badge_options_security,Meta: yith_wcbm_badge_options_schedule_from,Meta: yith_wcbm_badge_options_schedule_to,Attribute 4 default,Meta: _oembed_3a1aea8bf90fd50d4b2f46b28e4c9756,Meta: _oembed_ccf759f70b721a0ed28e9a480edbf902,Meta: _oembed_8a7f2ecc928babb54b1fe347cdd1a103,Meta: _oembed_time_8a7f2ecc928babb54b1fe347cdd1a103,Meta: __is_newly_created_product,Attribute 8 name,Attribute 8 value(s),Attribute 8 visible,Attribute 8 global,Attribute 9 name,Attribute 9 value(s),Attribute 9 visible,Attribute 9 global,Attribute 10 name,Attribute 10 value(s),Attribute 10 visible,Attribute 10 global,Attribute 11 name,Attribute 11 value(s),Attribute 11 visible,Attribute 11 global,Attribute 12 name,Attribute 12 value(s),Attribute 12 visible,Attribute 12 global
42675,variable,,,Large Brandy Balloon,1,0,visible,,,,,taxable,,0,,,0,0,,,,,0,,,,"Consignment, Objects > Glass, Objects, Designers > Per Lütken",,,"https://vamptvintagedesign.com/wp-content/uploads/2020/08/JYT9_JYT8_z292_4-785_2-670_2.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/08/JYT9_JYT8_z292_4-785_2-670_1.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/08/4-785-_1.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/08/4-785_2.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/08/4-785_3.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/08/ConJYT8.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/08/ConJYT9_2.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/08/ConJYT9.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/08/z292_2-scaled.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/08/z292.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/08/Photo-14-4-20-3-10-19-pm-1.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/08/2-670_1.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/08/2-670_2.jpg",,,,,,,,,0,,Type,"Large Holmegaard Bowl, Per Lutken heavy Bowl, Per Lutken Teardrop Bowl, Tall Holmegaard Vase, Large Brandy Balloon",0,0,default,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,[],"[""""]",716,,,3.63146E+15,,0,1,1743037412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42714,simple,IA850,,Danish Oak Plank Style Chairs,1,0,visible,"Inspired by Hans Wegner GE290, these are an exceptional version by an unknown Danish furniture maker.",,,,taxable,,0,0,,0,0,,,,,0,,,2750,"Chairs, Chairs > Lounge chairs",,,"https://vamptvintagedesign.com/wp-content/uploads/2020/09/IA850_3.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/09/IA850_6.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/09/IA850_7.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/09/IA850_8.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/09/IA850_1.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/09/IA850_2.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/09/IA850_4.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/09/IA850_5.jpg",,,,,,,,,0,,Country,Denmark,1,1,default,3.27848E+15,yes,yes,,product,,,Materials,"New Kvadrat upholstery, Oak",1,1,,,,,,,,,,,,,,,,,60,[],"[""""]",555,,,3.27848E+15,no,0,,1656728239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42723,simple,4-871,,Black Russell Woodard 7 piece Outdoor Setting,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,0,,,2950,"Chairs, Chairs > Dining chairs, Tables > Dining tables, Tables",,,"https://vamptvintagedesign.com/wp-content/uploads/2020/09/4-871_2.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/09/4-871_7.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/09/4-871_1.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/09/4-871_3.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/09/4-871_4.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/09/4-871_5.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/09/4-871_6.jpg",,,,,,,,,0,,Designer,Russell Woodard,1,1,default,4.02477E+15,yes,yes,,product,,,Country,North America,1,1,Year,1950's,1,1,Materials,"Smokey Glass, woven and spun fiberglass",1,1,,,,,,,,,,[],"[""""]",554,5/08/2023,5/09/2023,,no,1,0,1694928144,,,,10/09/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42740,simple,IA508,,Nova Teak & Beech Chairs (set of 6),1,0,visible,,,,,taxable,,0,0,,0,0,,,,,0,,,4770,"Chairs, Chairs > Dining chairs, New",,,"https://vamptvintagedesign.com/wp-content/uploads/2020/09/IA508_5-2.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/09/IA508_3-1.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/09/IA508_2-1.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/09/IA508_1-1.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/09/IA508_7.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/09/IA508_6-1.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/09/IA508_4-1.jpg",,,,,,,,,0,,Producer,Nova,1,1,default,,,yes,,,,,Country,Denmark,1,1,Materials,"New Vinyl Upholstery, Teak & Beech",1,1,,,,,,,,,,,,,30,[],"[""""]",651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42764,simple,s26,,Danish Teak Extension Dining Table,1,0,visible,Pictured in thumbnail with set of Danish Teak &amp; Beech Chairs (see CHAIRS),,,,taxable,,0,0,,0,0,,,,,0,,,2250,"Tables > Dining tables, New, On Sale, Tables",,,"https://vamptvintagedesign.com/wp-content/uploads/2020/09/s26_5.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/09/s26_1.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/09/s26_3.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/09/s26_4.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/09/s26-2.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/09/IA861A_9.jpg",,,,,,,,,0,,Country,Denmark,1,1,default,3.41227E+15,yes,yes,,product,,,Materials,Teak,1,1,Dimensions,134cm - 239cm x 85cm x 72cm(H),1,0,,,,,,,,,,,,,30,[],"[""""]",667,13/11/2020,24/12/2020,3.41227E+15,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42790,simple,3-776,,Australian Chalkware Rosella Statue,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,0,,,425,"New, Objects, On Sale, Objects > Other objects, Outdoor",,,"https://vamptvintagedesign.com/wp-content/uploads/2020/09/3-776_1.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/09/3-776_2.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/09/3-776_3.jpg",,,,,,,,,0,,Country,Australia,1,1,default,3.64206E+15,yes,yes,,product,,,Materials,Chalkware,1,1,Dimensions,29.5 cm (H),1,0,,,,,,,,,,,,,30,[],"[""""]",880,13/11/2020,24/12/2020,3.64206E+15,no,yes,,,,,,,Vampt product of the Day | A saucy little bird,Australian Chalkware Rosella Statue,https://vamptvintagedesign.com/wp-content/uploads/2020/09/Screen-Shot-2020-10-19-at-3.48.07-pm.png,43144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42794,simple,4-189,,1950's Swedish Sundial,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,0,,,1150,"Objects, Objects > Other objects, Outdoor",,,"https://vamptvintagedesign.com/wp-content/uploads/2020/09/4-189_1.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/09/4-189_2.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/09/4-189_3.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/09/4-189_4.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/09/4-189_5.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/09/4-189_6.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/09/4-189_7.jpg",,,,,,,,,0,,Country,Sweden,1,1,default,3.02169E+15,,yes,,,,,Materials,Brass & Metal,1,1,,,,,,,,,,,,,,,,,30,[],"[""""]",604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42802,simple,4-960,,Large West German Pottery Vase,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,0,,,345,"Objects > Ceramics, New, Objects",,,"https://vamptvintagedesign.com/wp-content/uploads/2020/09/4-960_1.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/09/4-960_2.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/09/4-960_3.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/09/4-960_4.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/09/4-960_5.jpg",,,,,,,,,0,,Country,Germany,1,1,default,3.78488E+15,yes,yes,,product,,,Materials,Pottery,1,1,,,,,,,,,,,,,,,,,30,[],"[""""]",604,,,3.78488E+15,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42808,simple,4-961,,Large West German Pottery Vase,1,0,visible,,,,,taxable,,0,0,,0,0,,,,,0,,,245,"Objects > Ceramics, Objects",,,"https://vamptvintagedesign.com/wp-content/uploads/2020/09/4-961_1.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/09/4-961_2.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/09/4-961_3.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/09/4-961_4.jpg",,,,,,,,,0,,Country,Germany,1,1,default,5.49658E+15,yes,yes,,product,,,Materials,Pottery,1,1,,,,,,,,,,,,,,,,,60,[],"[""""]",604,,,5.49658E+15,no,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42813,simple,5-037,,Large Letterman Triptych Wall Art,1,0,visible,"""The typical Letterman painting is not a painting at all. Most of them were manufactured (using a silkscreen-like process) in the Far East (China or perhaps the Philipines) during the 1970s and sold at JC Penney stores in the U.S.
\n
\n<b>Letterman</b> oil ""<b>paintings""</b> are a collection of works created to look like original oil <b>paintings</b>. Although there is no single <b>Letterman artist</b>, the <b>paintings</b> themselves are collectible by fans for their place in mid-century Americana.
\n
\nThe original artist was typically a “company man” or woman and therefore not acknowledged. They were contract or salary employees whose work-product became property of the company they worked for. Their work was copied much like a computer graphics image is used (copied) to create T-shirts using multi-colored passes and a silk-screen pattern.
\n
\nIf you compare two similiar paintings, the evidence will be apparent. Right down to the “simulated” brush-strokes possible with silk-screen technology.
\n
\nOne could stand in the isle of Penney’s and choose paintings of the same image from a choice of different sizes and even different color schemes.""",,,,taxable,,1,1,,0,0,,,,,0,,,3850,Art,,,"https://vamptvintagedesign.com/wp-content/uploads/2020/09/5-037_1.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/09/5-037_2.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/09/5-037_3.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/09/5-037_1-1.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/09/5-037_2-1.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/09/5-037_3-1.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/09/5-037_4.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/09/5-037_5.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/09/5-037_6.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/09/5-037_7.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/09/5-037_8.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/09/5-037_9.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/09/5-037_10.jpg, https://vamptvintagedesign.com/wp-content/uploads/2020/09/5-037_11.jpg",,,,,,,,,0,,Producer,Letterman,1,1,default,3.70804E+15,yes,yes,,product,,,Country,USA,1,1,Dimensions,160cm x 105cm(H),1,0,,,,,,,,,,,,,60,[],"[""""]",729,16/11/2020,30/11/2020,3.70804E+15,no,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
